MonthYear,New_Facility_Signups,Active_Subscribed_Facilities,Churned_Facilities,Operational_Capacity_Units,Average_Customer_Satisfaction_Score,Service_Reputation
2022-01-01,8,17,1,5.26,4.24,52.7
2022-02-01,10,27,0,6.02,3.97,57.3
2022-03-01,10,36,1,6.89,3.71,61.1
2022-04-01,8,43,1,7.61,3.5,62.9
2022-05-01,8,49,2,8.47,3.37,64.3
2022-06-01,9,55,3,9.56,3.16,66.2
2022-07-01,10,62,3,11.06,3.09,66.5
2022-08-01,10,68,4,12.43,2.97,69.1
2022-09-01,10,73,5,13.91,2.91,69.8
2022-10-01,11,79,5,15.54,2.86,70.3
2022-11-01,9,83,5,17.18,2.92,71.7
2022-12-01,10,89,4,19.01,2.89,74.5
2023-01-01,10,93,6,18.98,2.93,76.0
2023-02-01,13,100,6,21.19,2.93,78.2
2023-03-01,13,106,7,23.36,2.93,78.9
2023-04-01,12,112,6,25.61,2.92,81.6
2023-05-01,12,118,6,28.17,2.93,81.4
2023-06-01,12,123,7,28.19,3.02,82.1
2023-07-01,13,128,8,28.27,2.97,82.3
2023-08-01,13,133,8,28.31,3.0,84.8
2023-09-01,13,138,8,28.28,2.97,82.7
2023-10-01,16,146,8,31.5,2.96,84.2
2023-11-01,17,155,8,34.49,2.94,87.3
2023-12-01,14,160,9,34.51,2.96,87.8
2024-01-01,15,165,10,34.43,3.09,89.9
2024-02-01,17,172,10,34.48,3.02,91.0
2024-03-01,19,181,10,38.49,2.96,93.0
2024-04-01,19,188,12,38.52,2.94,94.2
2024-05-01,19,195,12,38.49,3.03,94.7
2024-06-01,19,203,11,38.43,3.02,96.7
2024-07-01,17,208,12,38.44,3.04,96.1
2024-08-01,20,215,13,38.5,3.03,98.4
2024-09-01,20,223,12,38.5,3.03,100.0
2024-10-01,21,231,13,38.46,3.1,100.0
2024-11-01,19,237,13,38.51,3.08,99.5
2024-12-01,21,244,14,38.54,3.04,100.0
